date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:15	334/334	---M-Z	200	added ('OK')	text/plain	date:Wed,%2015%20Feb%202023%2009:17:07%20GMT	https://www.orestisgeorgiou.com/robots.txt		(from )
19:42:18	71569/71569	---M-Z	200	added ('OK')	text/html	etag:W/%22bc047f357cdf8043364e20b3da0345e3%22	https://www.orestisgeorgiou.com/	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/index.html	(from )
19:42:19	2878/2878	---M--	200	added ('OK')	image/png	etag:CIuqlPzHwusCEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1550836870066-F1APA41BOX1U1SOT0V0W/favicon.ico?format=100w	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1550836870066-F1APA41BOX1U1SOT0V0W/faviconfc89.png	(from https://www.orestisgeorgiou.com/)
19:42:19	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Fri,%2017%20Feb%202023%2014:12:19%20GMT	http://static1.squarespace.com/static/5c6fd1c7c2ff616d47ed3809/t/5ca1ef15f9619a0cc69c77d3/1554116390153/hero-photo-formula-web.jpg?format=1500w	/home/aramaanmeher/websites/Aca/static1.squarespace.com/static/5c6fd1c7c2ff616d47ed3809/t/5ca1ef15f9619a0cc69c77d3/1554116390153/hero-photo-formula-web.126f7.delayed	(from https://www.orestisgeorgiou.com/)
19:42:22	8/8	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2014:12:21%20GMT	https://images.squarespace-cdn.com/	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/index.html	(from https://www.orestisgeorgiou.com/)
19:42:24	1039/1039	---MC-	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2014:12:21%20GMT	https://fonts.googleapis.com/css2?family=Lato:ital,wght@0,300;0,400;0,700;1,300;1,400;1,700	/home/aramaanmeher/websites/Aca/fonts.googleapis.com/css29af3.css	(from https://www.orestisgeorgiou.com/)
19:42:25	250057/250057	---M--	200	added ('OK')	image/jpeg	etag:CMeF0P7ixOsCEAE=	https://images.squarespace-cdn.com/content/5c6fd1c7c2ff616d47ed3809/1554116388142-83HV45469N3FFXDK6MH2/hero-photo-formula-web.jpg?format=1500w&content-type=image%2Fjpeg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/5c6fd1c7c2ff616d47ed3809/1554116388142-83HV45469N3FFXDK6MH2/hero-photo-formula-web43a3.jpg	(from https://www.orestisgeorgiou.com/)
19:42:27	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.orestisgeorgiou.com/)
19:42:31	46990/46990	---M-Z	200	added ('OK')	text/javascript	etag:%22c9d792a995c5444a09ba2d9eea24b5d2%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-998a237f80fc8a85832dd-min.en-US.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-998a237f80fc8a85832dd-min.en-US.js	(from https://www.orestisgeorgiou.com/)
19:42:32	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.orestisgeorgiou.com/)
